,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,HOUR,DAY,MONTH,YEAR
1,3,41.7,48.3,87.4,2,21.0,1021.0,53.0,5.0,1.0,14,10,8,2018
3,3,37.4,61.0,94.1,2,18.0,1025.0,48.0,4.0,1.0,11,26,2,2019
5,2,52.4,5.6,68.5,1,13.0,1014.0,72.0,4.0,3.0,7,15,11,2018
6,0,45.7,4.0,79.8,0,16.0,1020.0,58.0,0.0,1.0,21,3,10,2018
7,1,40.9,11.8,87.8,2,19.0,1014.0,64.0,5.0,1.0,19,25,8,2018
8,1,36.4,10.6,72.6,2,21.0,1019.0,82.0,5.0,6.0,12,30,6,2019
9,1,34.8,10.1,84.4,2,19.0,1018.0,55.0,3.0,2.0,9,20,4,2019
12,1,40.9,10.1,87.9,0,9.0,1017.0,81.0,5.0,5.0,7,20,1,2019
13,2,41.8,18.8,81.5,2,15.0,1021.0,67.0,2.0,1.0,14,25,1,2019
14,0,45.1,4.0,78.0,0,12.0,1021.0,100.0,1.0,6.0,4,27,9,2019
15,0,39.3,5.0,90.0,0,11.0,1023.0,100.0,4.0,4.0,22,8,2,2019
18,1,44.7,2.5,68.2,0,15.0,1024.0,87.0,6.0,4.0,21,2,12,2018
19,1,35.7,10.9,105.3,2,16.0,1019.0,67.0,5.0,5.0,14,17,2,2019
20,1,43.3,4.8,84.7,0,15.0,1012.0,100.0,6.0,4.0,22,10,11,2018
23,2,43.0,30.7,89.3,0,22.0,1020.0,37.0,1.0,1.0,19,3,10,2018
25,3,40.8,25.9,81.9,0,14.0,1014.0,93.0,0.0,4.0,19,26,10,2018
26,2,35.6,26.7,89.8,2,22.0,1016.0,83.0,3.0,6.0,19,13,7,2019
27,3,33.8,136.9,93.6,2,20.0,1019.0,77.0,3.0,4.0,12,13,8,2018
31,2,47.3,6.2,80.3,0,8.0,1025.0,100.0,1.0,3.0,7,7,2,2019
33,0,45.3,1.4,81.6,0,13.0,1007.0,93.0,6.0,4.0,2,7,11,2018
34,1,41.4,14.2,77.1,0,18.0,1013.0,88.0,0.0,1.0,23,1,8,2018
35,1,37.3,13.0,91.4,2,21.0,1015.0,73.0,2.0,5.0,19,15,8,2018
36,0,36.7,0.0,75.5,2,7.0,1032.0,100.0,1.0,5.0,10,8,12,2018
38,2,34.2,36.3,92.5,2,21.0,1018.0,83.0,3.0,6.0,13,18,9,2018
39,1,37.2,3.0,66.9,0,11.0,1020.0,87.0,4.0,6.0,0,27,1,2019
40,1,48.2,1.4,82.9,0,11.0,1016.0,66.0,8.0,1.0,6,27,10,2018
41,4,46.0,131.7,61.5,2,16.0,1015.0,100.0,3.0,4.0,8,19,6,2019
42,3,39.0,41.3,79.0,2,7.0,1021.0,100.0,1.0,1.0,10,25,1,2019
43,2,40.6,19.9,87.6,2,20.0,1019.0,82.0,4.0,4.0,13,12,8,2018
44,3,42.9,63.6,85.6,2,20.0,1018.0,73.0,2.0,1.0,18,13,9,2018
45,0,47.4,0.0,85.9,0,9.0,1016.0,87.0,1.0,1.0,6,5,10,2018
46,0,39.1,0.0,72.0,0,13.0,1018.0,93.0,6.0,4.0,0,24,1,2019
47,3,40.2,31.3,88.9,1,14.0,1029.0,76.0,1.0,5.0,18,27,2,2019
49,2,43.1,7.6,66.5,1,9.0,1024.0,87.0,2.0,6.0,6,26,4,2019
50,0,47.3,0.0,89.4,0,15.0,1014.0,88.0,2.0,1.0,6,1,9,2018
53,2,37.4,30.6,90.0,2,19.0,1016.0,77.0,0.0,4.0,10,25,7,2018
56,4,44.3,111.9,86.4,2,5.0,1029.0,66.0,5.0,1.0,9,13,2,2019
57,0,38.9,2.5,69.5,0,12.0,1021.0,87.0,2.0,2.0,20,11,4,2019
58,0,45.0,0.0,80.6,0,14.0,1015.0,87.0,1.0,1.0,2,26,8,2018
