,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,HOUR,DAY,MONTH,YEAR,IS_STORMY
10,2,42.5,14.1,75.1,0,18.0,1015.0,100.0,1.0,22,25,8,2019,0.0
22,2,40.9,35.9,77.7,2,20.0,1018.0,82.0,6.0,16,29,4,2019,0.0
24,4,43.1,113.5,86.2,2,22.0,1011.0,94.0,7.0,18,8,8,2019,0.0
52,2,45.6,10.2,77.3,0,9.0,1005.0,87.0,10.0,22,1,2,2019,0.0
55,0,44.2,2.6,77.6,0,12.0,1019.0,100.0,2.0,4,29,9,2019,0.0
78,3,37.5,60.8,90.4,2,22.0,1019.0,94.0,3.0,15,30,7,2018,0.0
110,0,39.2,4.2,71.7,0,14.0,1008.0,93.0,6.0,21,24,11,2018,0.0
126,2,40.8,19.2,82.4,0,10.0,1005.0,93.0,3.0,20,29,10,2018,0.0
148,1,31.9,10.1,81.3,2,15.0,1017.0,100.0,4.0,9,14,4,2019,0.0
175,4,40.4,108.1,83.2,2,10.0,1000.0,93.0,2.0,10,30,10,2018,0.0
184,0,38.3,1.1,66.3,0,16.0,1011.0,77.0,2.0,22,3,5,2019,0.0
197,0,47.9,0.0,71.9,0,13.0,1000.0,87.0,2.0,6,20,11,2018,0.0
202,1,37.7,9.2,74.4,0,13.0,1009.0,100.0,4.0,22,19,1,2019,0.0
220,1,40.0,7.1,88.8,0,21.0,1011.0,77.0,2.0,20,27,8,2018,0.0
224,1,37.3,18.8,90.9,2,12.0,1011.0,100.0,2.0,13,19,1,2019,0.0
239,3,43.3,27.9,68.9,2,13.0,1009.0,76.0,5.0,16,21,11,2018,0.0
241,0,41.9,0.0,68.4,0,15.0,1013.0,100.0,0.0,5,24,6,2019,0.0
246,2,40.3,22.9,82.3,2,13.0,1010.0,93.0,10.0,12,6,11,2018,0.0
254,0,41.9,0.0,74.2,0,13.0,1019.0,93.0,1.0,2,29,4,2019,0.0
271,4,42.9,59.2,87.1,2,9.0,993.0,81.0,8.0,10,1,2,2019,0.0
