AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,LUMINOSITY_ORDINAL,ORDINAL_CLOUDINESS,ORDINAL_SPEED_DIFF,Day,month,Year,Hour
41.5,11.5,71.4,15.0,1019.0,100.0,3.0,3,1.0,3,29,8,2019,7
41.7,48.3,87.4,21.0,1021.0,53.0,5.0,3,1.0,4,10,8,2018,14
38.6,38.4,85.2,26.0,1014.0,61.0,4.0,3,1.0,4,1,9,2019,16
37.4,61.0,94.1,18.0,1025.0,48.0,4.0,3,1.0,4,26,2,2019,11
41.6,50.4,77.0,15.0,1008.0,82.0,10.0,3,3.0,3,6,6,2019,12
52.4,5.6,68.5,13.0,1014.0,72.0,4.0,2,3.0,3,15,11,2018,7
45.7,4.0,79.8,16.0,1020.0,58.0,0.0,1,1.0,1,3,10,2018,21
40.9,11.8,87.8,19.0,1014.0,64.0,5.0,3,1.0,2,25,8,2018,19
36.4,10.6,72.6,21.0,1019.0,82.0,5.0,3,6.0,2,30,6,2019,12
34.8,10.1,84.4,19.0,1018.0,55.0,3.0,3,2.0,2,20,4,2019,9
42.5,14.1,75.1,18.0,1015.0,100.0,1.0,1,5.0,3,25,8,2019,22
46.8,2.4,75.5,14.0,1017.0,100.0,11.0,3,5.0,2,18,7,2019,6
40.9,10.1,87.9,9.0,1017.0,81.0,5.0,1,5.0,2,20,1,2019,7
41.8,18.8,81.5,15.0,1021.0,67.0,2.0,3,1.0,3,25,1,2019,14
45.1,4.0,78.0,12.0,1021.0,100.0,1.0,1,6.0,1,27,9,2019,4
39.3,5.0,90.0,11.0,1023.0,100.0,4.0,1,4.0,1,8,2,2019,22
46.0,7.1,83.5,18.0,1016.0,40.0,5.0,1,4.0,1,8,9,2019,5
37.5,0.8,67.8,11.0,1030.0,100.0,2.0,1,4.0,1,9,12,2018,22
44.7,2.5,68.2,15.0,1024.0,87.0,6.0,1,4.0,2,2,12,2018,21
35.7,10.9,105.3,16.0,1019.0,67.0,5.0,3,5.0,2,17,2,2019,14
43.3,4.8,84.7,15.0,1012.0,100.0,6.0,1,4.0,2,10,11,2018,22
39.7,2.0,72.0,24.0,1020.0,32.0,4.0,1,1.0,1,13,9,2019,23
40.9,35.9,77.7,20.0,1018.0,82.0,6.0,3,1.0,3,29,4,2019,16
43.0,30.7,89.3,22.0,1020.0,37.0,1.0,1,1.0,3,3,10,2018,19
43.1,113.5,86.2,22.0,1011.0,94.0,7.0,3,4.0,5,8,8,2019,18
40.8,25.9,81.9,14.0,1014.0,93.0,0.0,1,4.0,4,26,10,2018,19
35.6,26.7,89.8,22.0,1016.0,83.0,3.0,3,6.0,3,13,7,2019,19
33.8,136.9,93.6,20.0,1019.0,77.0,3.0,3,4.0,4,13,8,2018,12
37.9,2.5,64.7,15.0,1019.0,67.0,4.0,1,3.0,1,25,5,2019,2
36.2,38.7,84.8,16.0,1019.0,100.0,1.0,3,3.0,3,9,9,2019,10
37.2,9.4,72.5,17.0,1019.0,72.0,2.0,3,3.0,2,16,6,2019,10
47.3,6.2,80.3,8.0,1025.0,100.0,1.0,1,3.0,3,7,2,2019,7
45.5,3.6,86.2,13.0,1018.0,93.0,2.0,1,4.0,2,17,10,2018,3
45.3,1.4,81.6,13.0,1007.0,93.0,6.0,1,4.0,1,7,11,2018,2
41.4,14.2,77.1,18.0,1013.0,88.0,0.0,1,1.0,2,1,8,2018,23
37.3,13.0,91.4,21.0,1015.0,73.0,2.0,3,5.0,2,15,8,2018,19
36.7,0.0,75.5,7.0,1032.0,100.0,1.0,3,5.0,1,8,12,2018,10
38.3,0.0,84.3,13.0,1026.0,100.0,0.0,1,6.0,1,3,11,2018,1
34.2,36.3,92.5,21.0,1018.0,83.0,3.0,3,6.0,3,18,9,2018,13
37.2,3.0,66.9,11.0,1020.0,87.0,4.0,1,6.0,2,27,1,2019,0
48.2,1.4,82.9,11.0,1016.0,66.0,8.0,1,1.0,2,27,10,2018,6
46.0,131.7,61.5,16.0,1015.0,100.0,3.0,3,4.0,5,19,6,2019,8
39.0,41.3,79.0,7.0,1021.0,100.0,1.0,3,1.0,4,25,1,2019,10
40.6,19.9,87.6,20.0,1019.0,82.0,4.0,3,4.0,3,12,8,2018,13
42.9,63.6,85.6,20.0,1018.0,73.0,2.0,3,1.0,4,13,9,2018,18
47.4,0.0,85.9,9.0,1016.0,87.0,1.0,1,1.0,1,5,10,2018,6
39.1,0.0,72.0,13.0,1018.0,93.0,6.0,1,4.0,1,24,1,2019,0
40.2,31.3,88.9,14.0,1029.0,76.0,1.0,2,5.0,4,27,2,2019,18
47.7,103.1,81.5,10.0,1020.0,76.0,5.0,3,6.0,5,14,11,2018,9
43.1,7.6,66.5,9.0,1024.0,87.0,2.0,2,6.0,3,26,4,2019,6
47.3,0.0,89.4,15.0,1014.0,88.0,2.0,1,1.0,1,1,9,2018,6
37.3,6.9,78.8,28.0,1014.0,61.0,4.0,3,4.0,2,10,7,2019,19
45.6,10.2,77.3,9.0,1005.0,87.0,10.0,1,4.0,3,1,2,2019,22
37.4,30.6,90.0,19.0,1016.0,77.0,0.0,3,4.0,3,25,7,2018,10
34.8,0.0,88.4,17.0,1021.0,100.0,1.0,3,1.0,1,9,9,2018,9
44.2,2.6,77.6,12.0,1019.0,100.0,2.0,1,1.0,1,29,9,2019,4
44.3,111.9,86.4,5.0,1029.0,66.0,5.0,3,1.0,5,13,2,2019,9
38.9,2.5,69.5,12.0,1021.0,87.0,2.0,1,2.0,1,11,4,2019,20
45.0,0.0,80.6,14.0,1015.0,87.0,1.0,1,1.0,1,26,8,2018,2
37.4,20.6,76.5,21.0,1016.0,72.0,2.0,3,6.0,3,25,6,2019,13
37.6,1.9,84.9,18.0,1019.0,67.0,2.0,1,1.0,1,1,10,2018,20
44.5,78.7,85.0,17.0,1017.0,67.0,0.0,2,4.0,4,25,10,2018,17
36.4,0.0,68.9,17.0,1018.0,82.0,1.0,1,1.0,1,2,6,2019,1
38.5,92.2,92.8,26.0,1020.0,69.0,6.0,3,1.0,4,15,8,2019,15
45.3,38.8,87.0,30.0,1013.0,43.0,3.0,3,1.0,4,2,8,2018,18
32.9,24.1,88.8,21.0,1013.0,88.0,4.0,3,4.0,3,3,7,2019,10
33.7,7.0,70.8,15.0,1016.0,67.0,4.0,3,3.0,2,18,5,2019,13
