AVERAGE_SPEED_DIFF,AVERAGE_FREE_F1_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_F1_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,HOUR,DAY,MONTH,YEAR,IDENTIFIER
1,40.8,6.1,79.4,0,18.0,1020.0,93.0,3.0,3.0,0,10,8,2019,0_10_8_2019
1,40.8,6.1,79.4,0,18.0,1020.0,93.0,3.0,3.0,0,10,8,2019,0_10_8_2019
0,40.4,2.3,88.3,0,15.0,1022.0,100.0,1.0,2.0,0,10,9,2018,0_10_9_2018
0,40.4,2.3,88.3,0,15.0,1022.0,100.0,1.0,0.0,0,10,9,2018,0_10_9_2018
0,45.8,2.4,78.2,0,15.0,1020.0,100.0,2.0,3.0,0,10,9,2019,0_10_9_2019
0,45.8,2.4,78.2,0,15.0,1020.0,100.0,2.0,3.0,0,10,9,2019,0_10_9_2019
0,45.0,0.0,80.6,0,19.0,1005.0,68.0,8.0,3.0,0,11,10,2018,0_11_10_2018
0,45.0,0.0,80.6,0,19.0,1005.0,68.0,8.0,0.0,0,11,10,2018,0_11_10_2018
0,41.9,0.0,75.1,0,9.0,1023.0,54.0,6.0,0.0,0,11,12,2018,0_11_12_2018
0,41.9,0.0,75.1,0,9.0,1023.0,54.0,6.0,0.0,0,11,12,2018,0_11_12_2018
0,38.2,2.6,72.7,0,11.0,1021.0,93.0,0.0,2.0,0,11,4,2019,0_11_4_2019
0,38.2,2.6,72.7,0,11.0,1021.0,93.0,0.0,0.0,0,11,4,2019,0_11_4_2019
0,43.3,0.0,70.9,0,14.0,1019.0,87.0,4.0,2.0,0,11,6,2019,0_11_6_2019
0,43.3,0.0,70.9,0,14.0,1019.0,87.0,4.0,2.0,0,11,6,2019,0_11_6_2019
0,48.5,0.0,75.2,0,14.0,1021.0,100.0,0.0,0.0,0,11,8,2018,0_11_8_2018
0,48.5,0.0,75.2,0,14.0,1021.0,100.0,0.0,0.0,0,11,8,2018,0_11_8_2018
1,40.7,7.3,81.1,0,17.0,1021.0,93.0,3.0,2.0,0,11,8,2019,0_11_8_2019
1,40.7,7.3,81.1,0,17.0,1021.0,93.0,3.0,3.0,0,11,8,2019,0_11_8_2019
1,44.3,3.7,79.9,0,17.0,1021.0,88.0,0.0,0.0,0,11,9,2018,0_11_9_2018
1,44.3,3.7,79.9,0,17.0,1021.0,88.0,0.0,0.0,0,11,9,2018,0_11_9_2018
0,44.7,1.7,85.7,0,17.0,1015.0,72.0,6.0,0.0,0,12,10,2018,0_12_10_2018
0,44.7,1.7,85.7,0,17.0,1015.0,72.0,6.0,0.0,0,12,10,2018,0_12_10_2018
0,42.7,0.0,83.7,0,9.0,1010.0,93.0,1.0,1.0,0,12,11,2018,0_12_11_2018
0,42.7,0.0,83.7,0,9.0,1010.0,93.0,1.0,1.0,0,12,11,2018,0_12_11_2018
0,41.9,0.0,74.9,0,10.0,1024.0,100.0,0.0,0.0,0,12,12,2018,0_12_12_2018
0,41.9,0.0,74.9,0,10.0,1024.0,100.0,0.0,3.0,0,12,12,2018,0_12_12_2018
0,41.1,0.0,86.7,0,7.0,1030.0,87.0,0.0,0.0,0,12,2,2019,0_12_2_2019
