AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,HOUR,DAY,MONTH,YEAR,AVERAGE_RAIN,IS_STORMY
3,41.7,48.3,87.4,2,21,1021,53,5,1,14,10,8,2018,250,0
3,37.4,61,94.1,2,18,1025,48,4,1,11,26,2,2019,250,0
2,52.4,5.6,68.5,1,13,1014,72,4,3,7,15,11,2018,250,0
0,45.7,4,79.8,0,16,1020,58,0,1,21,3,10,2018,250,0
1,40.9,11.8,87.8,2,19,1014,64,5,1,19,25,8,2018,250,0
1,36.4,10.6,72.6,2,21,1019,82,5,6,12,30,6,2019,250,0
1,34.8,10.1,84.4,2,19,1018,55,3,2,9,20,4,2019,700,0
1,40.9,10.1,87.9,0,9,1017,81,5,5,7,20,1,2019,700,0
2,41.8,18.8,81.5,2,15,1021,67,2,1,14,25,1,2019,700,0
0,45.1,4,78,0,12,1021,100,1,6,4,27,9,2019,250,0
0,39.3,5,90,0,11,1023,100,4,4,22,8,2,2019,700,0
1,44.7,2.5,68.2,0,15,1024,87,6,4,21,2,12,2018,300,0
1,35.7,10.9,105.3,2,16,1019,67,5,5,14,17,2,2019,250,0
1,43.3,4.8,84.7,0,15,1012,100,6,4,22,10,11,2018,250,0
2,43,30.7,89.3,0,22,1020,37,1,1,19,3,10,2018,250,0
3,40.8,25.9,81.9,0,14,1014,93,0,4,19,26,10,2018,250,0
2,35.6,26.7,89.8,2,22,1016,83,3,6,19,13,7,2019,250,0
3,33.8,136.9,93.6,2,20,1019,77,3,4,12,13,8,2018,700,0
2,47.3,6.2,80.3,0,8,1025,100,1,3,7,7,2,2019,250,0
0,45.3,1.4,81.6,0,13,1007,93,6,4,2,7,11,2018,250,0
1,41.4,14.2,77.1,0,18,1013,88,0,1,23,1,8,2018,900,0
1,37.3,13,91.4,2,21,1015,73,2,5,19,15,8,2018,250,0
0,36.7,0,75.5,2,7,1032,100,1,5,10,8,12,2018,250,0
2,34.2,36.3,92.5,2,21,1018,83,3,6,13,18,9,2018,250,0
1,37.2,3,66.9,0,11,1020,87,4,6,0,27,1,2019,250,0
